#	Battery%	Lowest%	TachoFinal	MinTacho	MaxTacho
1	76	73	3539	3530	4038
2	76	73	3541	3530	3547
3	76	73	3537	3529	3545
4	75	73	3534	3526	3540
5	75	73	3536	3529	3540
6	75	73	3539	3531	3541
7	75	73	3538	3533	3542
8	74	73	3538	3534	3543
9	75	73	3539	3533	3545
10	74	73	3540	3531	3543
11	74	73	3538	3533	3544
12	73	73	3537	3533	3541
13	73	73	3536	3531	3541
14	73	73	3534	3531	3540
15	73	72	3537	3531	3540
16	72	72	3536	3530	3540
17	72	72	3534	3529	3539
18	72	72	3534	3530	3538
19	72	71	3535	3529	3537
20	71	71	3535	3530	3540
21	71	70	3534	3530	3539
22	70	70	3534	3530	3537
23	70	70	3534	3530	3538
24	70	70	3539	3531	3540
25	70	70	3534	3530	3540
26	70	70	3531	3530	3540
27	69	69	3535	3531	3539
28	69	69	3533	3530	3540
29	69	69	3533	3530	3538
30	68	68	3535	3529	3538
31	68	68	3532	3530	3539
32	68	68	3536	3530	3538
33	68	68	3533	3531	3539
34	68	68	3533	3527	3538
35	67	67	3536	3529	3539
36	67	67	3535	3529	3539
37	67	66	3534	3530	3538
38	66	66	3534	3530	3539
39	66	66	3535	3529	3538
40	66	65	3535	3528	3539
41	65	65	3535	3531	3539
42	65	65	3537	3530	3538
43	65	65	3536	3531	3541
44	65	65	3536	3532	3540
45	64	64	3533	3529	3540
46	64	64	3533	3529	3538
47	64	64	3535	3530	3538
48	63	63	3534	3528	3538
49	63	63	3536	3530	3539
50	63	63	3534	3529	3539
51	63	63	3534	3529	3538
52	63	62	3534	3530	3538
53	62	62	3533	3530	3540
54	62	62	3536	3530	3538
55	62	62	3535	3531	3539
56	62	61	3534	3530	3540
57	61	61	3534	3530	3539
58	61	60	3540	3529	3540
59	60	60	3534	3527	3540
60	60	60	3535	3529	3540
61	60	60	3536	3531	3540
62	60	60	3535	3530	3538
63	59	59	3530	3530	3539
64	59	59	3534	3529	3540
65	59	59	3534	3531	3540
66	59	58	3535	3531	3540
67	58	58	3533	3529	3542
68	58	58	3533	3530	3540
69	58	58	3535	3531	3541
70	58	58	3534	3530	3540
71	57	57	3535	3528	3539
72	57	57	3537	3530	3540
73	57	57	3539	3532	3541
74	57	56	3537	3530	3542
75	56	56	3538	3531	3540
76	56	56	3539	3533	3542
77	56	56	3537	3530	3542
78	56	55	3538	3532	3542
79	55	55	3537	3533	3541
80	55	55	3536	3531	3540
81	55	55	3536	3532	3543
82	55	54	3537	3532	3543
83	54	54	3536	3532	3543
84	54	54	3535	3532	3541
85	54	54	3538	3533	3542
86	53	53	3538	3534	3545
87	53	53	3538	3534	3543
88	53	53	3537	3534	3541
89	53	53	3537	3533	3542
90	53	52	3536	3533	3542
91	52	52	3538	3534	3542
92	52	52	3537	3534	3542
93	52	52	3539	3532	3542
94	51	51	3539	3532	3542
95	51	51	3538	3533	3542
96	51	51	3537	3531	3540
97	51	50	3534	3533	3541
